Time,MSD
20.6,39.99826001515529
20.700000000000003,40.69226751408841
20.8,41.221119663720025
20.900000000000002,41.01063308573452
21.0,41.98999112414012
21.1,41.31820919737992
21.200000000000003,43.620167501737434
21.3,43.189451364408704
21.400000000000002,42.56006250135251
21.5,43.19190902006424
21.6,42.74740985893228
21.700000000000003,43.41501268011523
21.8,44.27714702378166
21.900000000000002,43.90311794007328
22.0,43.315012361330325
22.1,43.78133980594518
22.200000000000003,43.76355938556437
22.3,43.75739006366282
22.400000000000002,44.77602173891969
22.5,45.09163031085771
22.6,44.95010875621563
22.700000000000003,44.80613196681724
22.8,46.03755435059865
22.900000000000002,45.361126780454526
23.0,45.60558913492873
23.1,45.16182009945165
23.200000000000003,46.86545014568947
23.3,46.28875692613662
23.400000000000002,46.601645316311085
23.5,46.66671042300394
23.6,46.48502168041529
23.700000000000003,47.73668896854946
23.8,47.80281443848002
23.900000000000002,48.1573382855698
24.0,49.73847996780108
24.1,49.980662427722166
24.200000000000003,50.135991318362436
24.3,49.87721279617751
24.400000000000002,49.16212302634607
24.5,49.99965865728419
24.6,50.36296447764522
24.700000000000003,49.59932524692609
24.8,49.87937063723677
24.900000000000002,49.45729443878506
25.0,49.378485445053606
25.1,49.569455814536184
25.200000000000003,50.44670611782258
25.3,50.67192594216555
25.400000000000002,50.5038726800856
25.5,50.002851535368926
25.6,49.95709998982317
25.700000000000003,49.210550624587256
25.8,49.53682147378913
25.900000000000002,49.71301470022746
26.0,50.380890504803794
26.1,50.497593412507506
26.200000000000003,51.86393797828024
26.3,51.72982259678264
26.400000000000002,52.28615230194608
26.5,52.16248705464596
26.6,52.90876906765974
26.700000000000003,52.16022694195143
26.8,52.04066575986826
26.900000000000002,53.15817326323067
27.0,53.16718172518705
27.1,54.243233397963
27.200000000000003,53.21682415921935
27.3,53.900254535604084
27.400000000000002,53.489985992915166
27.5,53.78600695838906
27.6,53.21258575411529
27.700000000000003,52.677625386761115
27.8,53.03148269472808
27.900000000000002,53.87722791519229
28.0,53.26198287408408
28.1,53.87974585895049
28.200000000000003,53.263023481414784
28.3,52.992424069705116
28.400000000000002,52.894963881433476
28.5,53.21221844313224
28.6,53.88921922362855
28.700000000000003,54.137287252289525
28.8,54.32238402449241
28.900000000000002,53.933693290502724
29.0,53.73917306605036
29.1,53.8110008709383
29.200000000000003,54.20184698638124
29.3,55.45633807679409
29.400000000000002,55.35509718185383
29.5,54.61400596889061
29.6,54.42342810307043
29.700000000000003,54.203654188049974
29.8,54.48329955583788
29.900000000000002,54.3892764268017
30.0,54.53665411669167
30.1,54.13994129503343
30.200000000000003,54.751025169805295
30.3,54.61421273042879
30.400000000000002,53.25462906461237
30.5,54.326414927836986
30.6,55.41087844381253
30.700000000000003,55.16669173905504
30.8,55.504458995003084
30.900000000000002,55.87434875945893
31.0,55.550456893384826
31.1,56.40589541918812
31.200000000000003,56.98729929268119
31.3,56.750697799501374
31.400000000000002,57.79734880168521
31.5,57.889486928221054
31.6,57.96674138871049
31.700000000000003,58.20410105178845
31.8,58.30702907447426
31.900000000000002,58.07147915117401
32.0,57.30187794888436
32.1,58.552604063508575
32.2,57.867201341000005
32.300000000000004,57.211497468885476
32.4,57.42258617815086
32.5,58.9063700343068
32.6,59.0477991243109
32.7,58.54982290191024
32.800000000000004,59.06211853552452
32.9,58.63278643599761
33.0,57.85441807126502
33.1,58.37253237557809
33.2,59.1181957680289
33.300000000000004,58.3975556523111
33.4,59.79916526829037
33.5,58.87835532366341
33.6,59.755149081707124
33.7,61.121905041705816
33.800000000000004,60.20688793581666
33.9,60.08763181385191
34.0,60.59232860372327
34.1,59.82783338256504
34.2,60.910904976265094
34.300000000000004,59.244571415215496
34.4,60.78168896373237
34.5,61.76634908213077
34.6,61.90983116829511
34.7,61.257378146858294
34.800000000000004,61.44019477835741
34.9,61.51963034860179
35.0,62.54385291704407
35.1,61.93486197080683
35.2,61.687107705715135
35.300000000000004,61.5991819546237
35.4,61.857132357253995
35.5,62.53637805836754
35.6,61.78980763020193
35.7,62.27731415269702
35.800000000000004,60.946791692930475
35.9,60.86138905291832
36.0,62.43174793127135
36.1,60.598483840548994
36.2,61.22337446561583
36.300000000000004,62.75639094413649
36.4,61.37422999938218
36.5,61.715408065948964
36.6,61.75513740140271
36.7,63.21277812581505
36.800000000000004,64.73842301151531
36.9,64.81488992716005
37.0,64.5815229127208
37.1,65.80591194090498
37.2,66.00138289206281
37.300000000000004,64.83596271107432
37.4,65.40742666849083
37.5,65.62684496548779
37.6,67.27169128974806
37.7,67.75057560137871
37.800000000000004,67.1895421401775
37.9,67.3084287778653
38.0,68.23090907880949
38.1,67.47152156712609
38.2,68.50780405586845
38.300000000000004,68.92593011184091
38.400000000000006,68.62557739784427
38.5,68.95257520473784
38.6,68.96800850115604
38.7,68.91315969287076
38.800000000000004,69.4106562835605
38.900000000000006,70.63995470450736
39.0,69.98218014856879
39.1,69.58292095644869
39.2,70.40192675017563
39.300000000000004,70.81081250108393
39.400000000000006,70.23790099089062
39.5,70.7762405506812
39.6,70.71547017174403
39.7,70.55527500966083
39.800000000000004,71.30110648949062
39.900000000000006,71.24909999274581
40.0,71.36818143804629
40.1,71.86138546324075
40.2,71.8901454169987
40.300000000000004,72.62708821492974
40.400000000000006,71.79515982520371
40.5,71.60776621990719
40.6,71.64812776586963
40.7,71.26087699306487
40.800000000000004,71.57930383536852
40.900000000000006,72.14451465107328
41.0,72.19011168505902
41.1,72.53949051094999
41.2,74.57965185660201
41.300000000000004,74.38400637710727
41.400000000000006,74.47022536078549
41.5,74.9375769984874
41.6,74.93336394238207
41.7,75.66948383251305
41.800000000000004,74.55551182753821
41.900000000000006,75.73981189738048
42.0,75.58676095345463
42.1,76.0453242482876
42.2,76.57561474405118
42.300000000000004,78.28027187655512
42.400000000000006,78.12427572670543
42.5,77.89100683089957
42.6,76.88407355401829
42.7,77.4634632931477
42.800000000000004,76.98259211578626
42.900000000000006,77.59455736971567
43.0,77.05534173917137
43.1,77.74271553518747
43.2,77.99656706379854
43.300000000000004,77.69389396171341
43.400000000000006,77.24235196352403
43.5,76.10286362705482
43.6,75.89248951075172
43.7,75.00924682676512
43.800000000000004,74.82973302806833
43.900000000000006,75.21313846347935
44.0,75.37060252052602
44.1,75.91831558813062
44.2,75.83366778589927
44.300000000000004,75.96794335599331
44.400000000000006,76.20881292526205
44.5,76.6710205522051
44.6,75.9349418230819
44.7,76.3818429294386
44.800000000000004,75.44132658941508
44.900000000000006,75.73141233592008
45.0,75.36540595549407
45.1,75.92043212064124
45.2,75.52347930935241
45.300000000000004,76.00262633333078
45.400000000000006,75.72054945020069
45.5,76.15853161280694
45.6,76.42499560251949
45.7,75.93181174277281
45.800000000000004,77.28302267997105
45.900000000000006,76.34626624495162
46.0,76.60727616450656
46.1,76.23990896374197
46.2,75.55163192530823
46.300000000000004,76.98453614454085
46.400000000000006,76.74147001875762
46.5,77.272620395164
46.6,77.88416867595575
46.7,78.4332273692272
46.800000000000004,79.28785145594843
46.900000000000006,79.00809589586623
47.0,78.08018098727653
47.1,79.09245869866798
47.2,78.05898951264466
47.300000000000004,78.44543984973183
47.400000000000006,78.38475331764238
47.5,78.23563124573856
47.6,78.45729417085339
47.7,78.65889499763098
47.800000000000004,78.32343327483399
47.900000000000006,78.93996467847342
48.0,78.31855125398194
48.1,78.06190018490452
48.2,78.33385157795566
48.300000000000004,78.15745430469532
48.400000000000006,78.94985686578819
48.5,78.84538978697489
48.6,79.41185484780085
48.7,80.34748476770727
48.800000000000004,79.29558129984697
48.900000000000006,78.70720302169472
49.0,78.45220103137109
49.1,78.98363134158963
49.2,79.4420573386959
49.300000000000004,80.72105393099952
49.400000000000006,80.46685351638455
49.5,80.28066088986472
49.6,80.4827975676405
49.7,81.3241156296965
49.800000000000004,80.93526493681993
49.900000000000006,81.31359821366514
50.0,81.12129665688236
50.1,81.7268918633632
50.2,80.82458741778841
50.300000000000004,82.51786089538615
